"Story","Title","Result","Date","Stability","Duration (s)"
"HomePage","Search","SUCCESS","2022-03-22T18:48:26.472+07:00[Asia/Jakarta]","0.0","0.1"
"HomePage","Go to network page","SUCCESS","2022-03-22T18:48:26.573+07:00[Asia/Jakarta]","0.0","0.16"
